,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
872,Kwai Tsing,Cheung Hong Estate Commercial Complex No.1 Fairwood (non-residential),09/08/2020,4043
873,Kwai Tsing,Tsing Yi Garden (non-residential),09/08/2020,4043
874,Sham Shui Po,Smiling Plaza Ka Ho Restaurant (non-residential),09/08/2020,4115
875,Islands,12 Tai Hing Tai Road 金興餐廳 (non-residential),09/08/2020,4119
876,Yau Tsim Mong,Travelodge Kowloon Marco's Oyster Bar & Grill (non-residential),09/08/2020,4141
877,Tuen Mun,Glorious Garden Market (non-residential),09/08/2020,4192
878,Yuen Long,Hing Fat Building 11 Yu King Square (non-residential),09/08/2020,4212
879,Eastern,Gold Mine Building (non-residential),09/08/2020,"4213, 4228"
880,Tsuen Wan,Sam Wo Building Kowloon Restaurant (non-residential),09/08/2020,4218
881,North,Po Shu Garden Phase 3 (non-residential),09/08/2020,4222
882,Sham Shui Po,So Uk Shopping Centre Tak Hing Yuen Seafood Restaurant (non-residential),09/08/2020,4226
883,Kwun Tong,Sunbeam Centre (non-residential),09/08/2020,4227
884,Wan Chai,Dorsett Wanchai Hong Kong 3T Bar (non-residential),09/08/2020,4232
885,Sham Shui Po,Wing Fat Building (non-residential),09/08/2020,4235
886,Yuen Long,Hung Fuk Estate Auxillary Facilities Block (non-residential),09/08/2020,4236
887,Islands,South Office Block Super Terminal 1 (non-residential),09/08/2020,4255
888,Sham Shui Po,6 Humbert Street 正點心 (non-residential),09/08/2020,4257
889,Sham Shui Po,Lai Wan Market (non-residential),09/08/2020,4257
890,Sha Tin,Chung On Shopping Centre Café de Coral (non-residential),09/08/2020,4267
891,Wan Chai,St. James' Settlement (non-residential),09/08/2020,4318
892,Kwun Tong,Sau Mau Ping Shopping Centre Little Onion (non-residential),09/08/2020,4328
893,Kwai Tsing,On Yam Shopping Centre Grand Restaurant (non-residential),09/08/2020,4331
894,Southern,Wah Fu (II) Commercial Complex (non-residential),09/08/2020,4336
895,Yuen Long,Aster Court (Shopping Centre) (non-residential),09/08/2020,4359
896,Tuen Mun,Blossom Garden Shopping Arcade 雲貴軒米線專門店 (non-residential),09/08/2020,4496
897,Tuen Mun,Kin Sang Estate Commercial Centre (non-residential),09/08/2020,4496
898,Tuen Mun,Venice Shopping Mall Soup Plus (non-residential),09/08/2020,4496
899,Yuen Long,Hop Yick Commercial Centre (non-residential),09/08/2020,4521
900,Sham Shui Po,Tung Wong House Tai Hang Tung Estate (non-residential),09/08/2020,4600
901,Wong Tai Sin,Kwong Fat Building (non-residential),10/08/2020,"1639, 1862, 2187, 4290"
902,Yau Tsim Mong,Grand Plaza (non-residential),10/08/2020,"2164, 2574, 4338"
903,Tai Po,Reve Plaza (non-residential),10/08/2020,"3323, 4163"
904,Tai Po,Fu Shin Shopping Centre (non-residential),10/08/2020,"3873, 4316, 4438"
905,Sham Shui Po,Golden Computer Arcade (non-residential),10/08/2020,"3894, 4338"
906,Yuen Long,Tin Shing Market (non-residential),10/08/2020,4059
907,Sham Shui Po,213 Un Chau Street McDonald's (non-residential),10/08/2020,4121
908,Sham Shui Po,Hung Yu Mansion (non-residential),10/08/2020,4121
909,Yau Tsim Mong,Tat Lee Commercial Building Hot-Star Large Fried Chicken (non-residential),10/08/2020,4150
910,North,Choi Yuen Plaza Café De Coral (non-residential),10/08/2020,4169
911,Yau Tsim Mong,Kowloon Funeral Parlour (non-residential),10/08/2020,4186
912,Kowloon City,78A To Kwa Wan Road Hon Po Restaurant (non-residential),10/08/2020,4187
913,Kowloon City,Braemar Court (non-residential),10/08/2020,4187
914,Kowloon City,Oi Man Plaza KFC (non-residential),10/08/2020,4188
915,Tsuen Wan,CDW Building (non-residential),10/08/2020,4207
916,Tsuen Wan,63 Sham Tseng Village Sham Tseng Chan Kee Roasted Goose (non-residential),10/08/2020,4218
917,North,63A San Fung Avenue (non-residential),10/08/2020,4222
918,Kwai Tsing,Kwai Chung Plaza Fu Wah Café (non-residential),10/08/2020,4263
919,Kwai Tsing,The Star (non-residential),10/08/2020,4266
920,Sha Tin,Chung On Shopping Centre Yoshinoya (non-residential),10/08/2020,4267
921,Sha Tin,Chung On Shopping Centre 八囍牛雜粉麵 (non-residential),10/08/2020,4267
922,Kwun Tong,Amoy Plaza Loving Hut (non-residential),10/08/2020,4271
923,Kwun Tong,Everest Industrial Centre (non-residential),10/08/2020,4271
924,Kwai Tsing,Lai King Estate Car Park (non-residential),10/08/2020,4272
925,Kwun Tong,Kowloonbay International Trade & Exhibition Centre (non-residential),10/08/2020,4275
926,Sham Shui Po,273 Castle Peak Road (non-residential),10/08/2020,4291
927,Yau Tsim Mong,Tai Yau Building Cosmopolitan Estates (non-residential),10/08/2020,4294
928,Eastern,Kin Yip Mansion (non-residential),10/08/2020,4304
929,Sham Shui Po,Cronin Garden (non-residential),10/08/2020,4327
930,Yau Tsim Mong,Olympian City 3 (non-residential),10/08/2020,4338
931,Eastern,Goldfield Mansion (non-residential),10/08/2020,4341
932,Kowloon City,Kaiser Estate Phase I (non-residential),10/08/2020,4344
933,Tuen Mun,7 San On Street (non-residential),10/08/2020,4373
934,Tsuen Wan,Shun Hing Building (non-residential),10/08/2020,"4413, 4540"
935,Wan Chai,One Capital Place (non-residential),10/08/2020,4434
936,Yuen Long,Po Fat Building (non-residential),10/08/2020,4521
937,Yau Tsim Mong,Gala Place (non-residential),11/08/2020,"1610, 1640, 1875, 2027, 2186, 2652, 3291, 4175"
938,Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),11/08/2020,"1848, 2181, 2468, 2522, 2559, 4196, 4341"
939,Tuen Mun,Tai Hing Estate Commercial Complex (non-residential),11/08/2020,"2119, 2939, 3461, 4242"
940,Tuen Mun,Butterfly Plaza Tai Hing (non-residential),11/08/2020,"3156, 4381"
941,Yau Tsim Mong,Mong Kok Building (non-residential),11/08/2020,"3996, 4264"
942,Tsuen Wan,On Fung Building (non-residential),11/08/2020,"4024, 4340"
943,Kwun Tong,Domain (non-residential),11/08/2020,4151
944,Wan Chai,2 Leighton Road (non-residential),11/08/2020,4175
945,Wan Chai,Times Square (non-residential),11/08/2020,"4175, 4119"
946,Kwun Tong,Hiu Lai Shopping Centre 榮發風味美食餐廳 (non-residential),11/08/2020,4186
947,Sham Shui Po,407 Un Chau Street 龍興燒臘茶餐廳 (non-residential),11/08/2020,4191
948,Kwun Tong,Kai Tin Shopping Centre (non-residential),11/08/2020,"4191, 4200"
949,Central & Western,The Centrium (non-residential),11/08/2020,4191
950,Kwai Tsing,13 Kwai Wing Road 連文記大排檔 (non-residential),11/08/2020,4203
951,Kwun Tong,Crocodile Center The Graces Restaurant (non-residential),11/08/2020,4203
952,Eastern,Chai Wan Municipal Services Building (non-residential),11/08/2020,4230
953,Kowloon City,Lux Theatre Building (non-residential),11/08/2020,4234
954,Kwun Tong,Wah Shing Centre (non-residential),11/08/2020,4241
955,Wan Chai,128 Wan Chai Road (non-residential),11/08/2020,4242
956,Wan Chai,Lucky House (non-residential),11/08/2020,4242
957,Sham Shui Po,150 Castle Peak Road Sum Kee Beef Noodles Shop (non-residential),11/08/2020,4263
958,Yau Tsim Mong,Fa Yuen Street Municipal Services Building (non-residential),11/08/2020,4264
959,Sha Tin,Lek Yuen Estate 百樂麵包製造店 (non-residential),11/08/2020,4267
960,Wan Chai,Hopewell Centre (non-residential),11/08/2020,4269
961,Central & Western,IFC Mall (non-residential),11/08/2020,4303
962,Yuen Long,140 On Ning Road (non-residential),11/08/2020,4337
963,Islands,12 Po Peng Street (non-residential),11/08/2020,4338
964,Tuen Mun,Taoist Ching Chung Primary School (non-residential),11/08/2020,4373
965,Sha Tin,The Salvation Army Jat Min Nursery School (non-residential),11/08/2020,4382
966,Tsuen Wan,Golden Bear Industrial Centre (non-residential),11/08/2020,4412
967,Sham Shui Po,Cheung Sha Wan Wholesale Vegetable Market (non-residential),11/08/2020,4476
968,Wong Tai Sin,Tsz Wan Shan Shopping Centre (non-residential),12/08/2020,"1311, 1312, 1404, 1444, 1477, 1491, 1507, 1508, 1520, 1538, 1549, 1555, 1556, 1564, 1565, 1570, 1579, 1583, 1586, 1588, 1601, 1603, 1604, 1622, 1637, 1643, 1667, 1669, 1680, 1683, 1698, 1702, 1703, 1705, 1709, 1719, 1720, 1744, 1757, 1761, 1773, 1775, 1779, 1786, 1819, 1845, 1862, 1896, 1902, 1944, 1956, 1959, 1963, 2006, 2121, 2122, 2123, 2130, 2187, 2237, 2259, 2273, 2285, 2298, 2321, 2349, 2380, 2428, 2738, 2903, 2994, 3002, 3310, 3655, 3656, 3657, 3816, 3820, 3915, 3925, 4290, 4313, 4330"
969,Sham Shui Po,Pei Ho Street Municipal Services Building Cooked Food Centre (non-residential),12/08/2020,"1435, 1558, 1980, 1997, 2234, 4309"
970,Sham Shui Po,Po On Road Municipal Services Building (non-residential),12/08/2020,"2234, 2410, 2728, 2924, 3351, 3831, 3992, 4115, 4226, 4291"
971,Sha Tin,Freshall (Sha Kok Market) (non-residential),12/08/2020,"2294, 3250, 3619, 3642, 4267, 4268, 4310"
972,Eastern,Paradise Mall (non-residential),12/08/2020,"2927, 3085, 4304, 4437"
973,Kwun Tong,MTR Kowloon Bay Depot (non-residential),12/08/2020,"3317, 3966, 4292"
974,Sha Tin,Fortune City One Market (non-residential),12/08/2020,"3335, 4268"
975,Tuen Mun,Shan King Commercial Centre (non-residential),12/08/2020,"4005, 4373"
976,Yau Tsim Mong,Wah Yuen Factory Building (non-residential),12/08/2020,"4185, 4294"
977,Wong Tai Sin,Tower 1 Lions Rise (non-residential),12/08/2020,4191
978,Sha Tin,Courtyard By Marriott Hong Kong Sha Tin (non-residential),12/08/2020,4195
979,Sha Tin,"Building 16W, Phase 3, Hong Kong Science Park (non-residential)",12/08/2020,4198
980,Sha Tin,Hong Kong Science Park Food Lab (non-residential),12/08/2020,4198
981,Tsuen Wan,Citywalk Café De Coral (non-residential),12/08/2020,4217
982,Tsuen Wan,Kolour - Tsuen Wan I (non-residential),12/08/2020,4217
983,Tsuen Wan,Tsuen Wan Town Square (non-residential),12/08/2020,4217
984,Kowloon City,Maxim Mansion 聯發餐廳小廚 (non-residential),12/08/2020,4233
985,Kowloon City,Site 5 & 6 Wonderful Worlds of Whampoa (non-residential),12/08/2020,"4243, 4292"
986,Tsuen Wan,91 Sham Tseng Village Nittaya Restaurant (non-residential),12/08/2020,4277
987,Tsuen Wan,Bellagio Mall (non-residential),12/08/2020,4277
988,Tsuen Wan,Bellagio Mall Super Super Congee & Noodle (non-residential),12/08/2020,4277
989,Tsuen Wan,Belvedere Square (non-residential),12/08/2020,4277
990,Tsuen Wan,Chan Kee Commercial Centre (non-residential),12/08/2020,4277
991,Tsuen Wan,Rhine Garden McDonald's (non-residential),12/08/2020,4277
992,Tsuen Wan,Rhine Garden Shopping Centre (non-residential),12/08/2020,4277
993,Kwai Tsing,Chinabest International Centre (non-residential),12/08/2020,4291
994,Yau Tsim Mong,Park Summit Jade Palace Chinese Restaurant (non-residential),12/08/2020,4294
995,Kwun Tong,Shun Lee Market (non-residential),12/08/2020,"4294, 4311"
996,Wan Chai,Cathay Mansion McDonald's (non-residential),12/08/2020,4296
997,Wan Chai,Causeway Bay Plaza 1 UCC Coffee Shop (non-residential),12/08/2020,4296
998,Wan Chai,Disciplined Services Sports And Recreation Club (non-residential),12/08/2020,4296
999,Sha Tin,Grandeur Shopping Arcade (non-residential),12/08/2020,4296
1000,Sai Kung,Tsui Lam Market Place (non-residential),12/08/2020,"4297, 4298"
1001,Sai Kung,Tsui Lam Square (non-residential),12/08/2020,4297
1002,Eastern,Paradise Mall McDonald's (non-residential),12/08/2020,4304
1003,Tuen Mun,Leung King Plaza Fairwood (non-residential),12/08/2020,4308
1004,Tuen Mun,Leung Kit House Leung King Estate (non-residential),12/08/2020,4308
1005,Islands,Ying Tung Shopping Centre (non-residential),12/08/2020,4338
1006,Tuen Mun,Shan King Community Hall (non-residential),12/08/2020,4373
1007,Wan Chai,The Charterhouse (non-residential),12/08/2020,4387
1008,Yau Tsim Mong,The Ma Kam Chan Memorial Building of The Chinese University of Hong Kong - TWGHs Community College (non-residential),12/08/2020,4393
1009,Yau Tsim Mong,Cheong Wah Commercial Building (non-residential),12/08/2020,"4425, 4539"
1010,Sha Tin,64 Chui Tin Street (non-residential),12/08/2020,4429
1011,Yuen Long,Ho Shun Tai Building Peony Golden Court (non-residential),12/08/2020,4432
1012,Yuen Long,Hung Wan Centre Wealth Banquet (non-residential),12/08/2020,4432
1013,Eastern,Aldrich Garden Shopping Centre (non-residential),12/08/2020,4437
1014,Kowloon City,Tower 1 Laguna Verde (non-residential),12/08/2020,4469
1015,Sham Shui Po,Lok Fung Building (non-residential),12/08/2020,4479
1016,North,21 Wo Tai Street Hung Tai (non-residential),12/08/2020,4494
1017,North,Tin Ping Shopping Centre (non-residential),12/08/2020,4494
1018,Central & Western,Mandarin Oriental Hotel (non-residential),12/08/2020,4515
1019,Sham Shui Po,Cheung Sha Wan Government Offices (non-residential),13/08/2020,"1501, 1890, 2128, 4433"
1020,Wan Chai,Immigration Tower (non-residential),13/08/2020,"1542, 1584, 1765, 2104, 2134, 2448, 2696, 3026, 4482"
1021,Kwun Tong,Ngau Tau Kok Municipal Services Building (non-residential),13/08/2020,"1853, 2578, 2666, 3214, 3199, 3399, 3814, 3972, 4595"
1022,Tai Po,Tai Yuen Shopping Centre (non-residential),13/08/2020,"2090, 2854, 2991, 3390, 4438"
1023,Tsuen Wan,Tsuen Fung Centre (non-residential),13/08/2020,"3728, 4495"
1024,Eastern,Fortress Tower (non-residential),13/08/2020,4332
1025,Yuen Long,YOHO Mall II Café de Coral (non-residential),13/08/2020,4354
1026,Tuen Mun,Butterfly Market (non-residential),13/08/2020,4381
1027,Tuen Mun,K-point (non-residential),13/08/2020,4412
1028,Yuen Long,Po Shing Building (non-residential),13/08/2020,4433
1029,Tai Po,Fu Shin Shopping Centre Fairwood (non-residential),13/08/2020,4438
1030,Kowloon City,"Block 3, Housing Authority Headquarters (non-residential)",13/08/2020,4441
1031,Kowloon City,Lily Mansions Site 9 The Whampoa (non-residential),13/08/2020,4469
1032,Wong Tai Sin,Sik Sik Yuen Social Services Complex (non-residential),13/08/2020,4522
1033,Wan Chai,Lockhart House Tower A (non-residential),13/08/2020,4583
1034,Kowloon City,Hung Hom Municipal Services Building (non-residential),14/08/2020,"1723, 1760, 1765, 1877, 1965, 2058, 2116, 2296, 2316, 2341, 2902, 3185, 3188, 3290, 3464, 3643, 3648, 3668, 3731, 4165, 4595"
1035,Kwun Tong,Sau Mau Ping Shopping Centre (non-residential),14/08/2020,"1863, 1865, 1897, 2031, 2035, 2071, 2449, 2623, 2902, 4529"
1036,Tsuen Wan,OP Mall (non-residential),14/08/2020,"2529, 2690, 4495"
1037,Kwun Tong,Tsui Ping (North) Shopping Circuit (non-residential),14/08/2020,"2807, 2833, 3055, 4148, 4372"
1038,Kwai Tsing,Tai Wo Hau Shopping Centre (non-residential),14/08/2020,"3172, 4225, 4389"
1039,Wan Chai,Haven Court (non-residential),14/08/2020,"3664, 4199, 4401"
1040,North,Metropolis Plaza (non-residential),14/08/2020,"3975, 4494"
1041,Kwun Tong,1 Hung To Road No. 1 Hung To Canteen (non-residential),14/08/2020,"4186, 4387"
1042,Kwun Tong,Tsui Ping (North) Estate Café 100% (non-residential),14/08/2020,4372
1043,Central & Western,Kennedy Town Community Complex (non-residential),14/08/2020,4378
1044,Kwai Tsing,Kwai Chung Plaza 孖寶車仔麵 (non-residential),14/08/2020,4381
1045,Central & Western,Sunwise Building Cafe Seasons (non-residential),14/08/2020,4402
1046,Yau Tsim Mong,The Luxe Manor (non-residential),14/08/2020,4407
1047,Yuen Long,Hop Yick Plaza (non-residential),14/08/2020,4432
1048,Tuen Mun,Hanford Garden (non-residential),14/08/2020,4455
1049,Kwai Tsing,Yin Lai Court Shopping Centre Café de Coral (non-residential),14/08/2020,4457
1050,Kwai Tsing,Lai King Estate Carnival Restaurant (non-residential),14/08/2020,4460
1051,Kwai Tsing,Kwai Fong Plaza (non-residential),14/08/2020,4480
1052,Yau Tsim Mong,Victoria Mall (non-residential),14/08/2020,4491
1053,Kowloon City,Radio Television Hong Kong Broadcasting House (non-residential),14/08/2020,4524
1054,Wong Tai Sin,Po Tsui Mansion (non-residential),14/08/2020,4535
1055,Wong Tai Sin,Manning Theater Building Ka Fung Restaurant (non-residential),14/08/2020,4543
1056,Kowloon City,Foka Building 東門冰室 (non-residential),14/08/2020,"4549, 4550"
1057,Tai Po,Jade Plaza (non-residential),14/08/2020,4573
1058,Tai Po,Tai Yuen Shopping Centre Old Store (non-residential),14/08/2020,4573
1059,Kowloon City,Lux Theatre Building Fulum Fishman's Wharf Restaurant (non-residential),14/08/2020,4595
1060,Kowloon City,St. Teresa’s hospital (non-residential),14/08/2020,4595
1061,Yau Tsim Mong,Grand Century Place (non-residential),14/08/2020,4603
1062,Wan Chai,Tower 535 (non-residential),14/08/2020,4614
1063,Tuen Mun,San Hui Market (non-residential),15/08/2020,"1471, 1561, 1907, 1931, 2154, 2381, 2458, 2493, 2598, 2691, 2889, 3386, 3395, 3742, 4446"
1064,Yuen Long,Tai Kiu Market (non-residential),15/08/2020,"1471, 1561, 2286, 2995, 3460, 3480, 3966, 4034, 4337, 4521"
1065,North,Luen Wo Hui Municipal Services Building (non-residential),15/08/2020,"1568, 2167, 2357, 2770, 2991, 4638"
1066,Tsuen Wan,Yeung Uk Road Municipal Services Building (non-residential),15/08/2020,"1652, 1859, 2196, 2261, 2239, 3047, 3117, 3244, 3254, 3976, 4022, 4023, 4024, 4177, 4217, 4413, 4457, 4540"
1067,North,Shek Wu Hui Municipal Services Building (non-residential),15/08/2020,"1947, 1989, 2053, 2072, 2179, 2284, 2393, 2576, 2912, 2913, 3207, 3536, 3948, 4003, 4027, 4105, 4143, 4423"
1068,Yuen Long,Tung Yick Market (non-residential),15/08/2020,"2172, 3318, 3480, 4521, 4537"
1069,Tuen Mun,Yan Tin Market (non-residential),15/08/2020,"3803, 4577"
1070,Kwai Tsing,Kwai Chung Plaza Café de Coral (non-residential),15/08/2020,"3871, 4416, 4417"
1071,Kowloon City,Ka Wai Chuen Ka Lim Lau McDonald's (non-residential),15/08/2020,4345
1072,Tsuen Wan,Indi home (non-residential),15/08/2020,"4413, 4540"
1073,Tsuen Wan,Indi home Green River Restaurant (non-residential),15/08/2020,4413
1074,Tsuen Wan,Indi home Maxim's MX (non-residential),15/08/2020,4413
1075,Kwai Tsing,MTR Kwai Fong Station (non-residential),15/08/2020,"4416, 4460, 4480"
1076,Wong Tai Sin,Hsin Kuang Centre 廣東燒味餐廳 (non-residential),15/08/2020,4419
1077,Kowloon City,78 Wuhu Street 平記咖啡冰室 (non-residential),15/08/2020,4425
1078,Kwai Tsing,Yin Lai Court Shopping Centre (non-residential),15/08/2020,4444
1079,Yau Tsim Mong,2W-2X Sai Yeung Choi Street South 101 Taiwanese (non-residential),15/08/2020,4447
1080,Wong Tai Sin,Lee Ka Factory Building (non-residential),15/08/2020,4447
1081,Sai Kung,Lohas Park Wings at Sea Tower 1A (non-residential),15/08/2020,4447
1082,Kwun Tong,Telford Plaza II Xiao Wang Beef Noodle (non-residential),15/08/2020,4447
1083,Yuen Long,Yuccie Square (non-residential),15/08/2020,4447
1084,Tuen Mun,Tai Hing Garden Phase 2 Shopping Centre (non-residential),15/08/2020,4448
1085,Kwai Tsing,Rambler Oasis Hotel (non-residential),15/08/2020,4454
1086,Yuen Long,Tin Chak Shopping Centre (non-residential),15/08/2020,"4456, 4496"
1087,Yuen Long,Tin Chak Shopping Centre Café 100% (non-residential),15/08/2020,4456
1088,Sham Shui Po,66 Pei Ho Street 榮華茶餐廳 (non-residential),15/08/2020,4458
1089,Kwun Tong,Kowloonbay International Trade & Exhibition Centre Tomato Club (non-residential),15/08/2020,4468
1090,Kowloon City,Tai Fung House (non-residential),15/08/2020,4471
1091,Eastern,Siu Sai Wan Plaza Green River Restaurant (non-residential),15/08/2020,4475
1092,Kwun Tong,Hiu Lai Shopping Centre (non-residential),15/08/2020,4529
1093,Yuen Long,Tung Yick Building (non-residential),15/08/2020,4537
1094,Eastern,Fitfort Café de Coral (non-residential),15/08/2020,4547
1095,Eastern,Phase 1 Healthy Village McDonald's (non-residential),15/08/2020,4547
1096,Yuen Long,Kingswood Ginza (non-residential),15/08/2020,4561
1097,Yuen Long,Kingswood Ginza Café 100% (non-residential),15/08/2020,4561
1098,Yau Tsim Mong,Eaton Hotel Superdon Express (non-residential),15/08/2020,4607
1099,Yau Tsim Mong,Sheung On House Koon Thai Hai Nam Chicken (non-residential),15/08/2020,4607
1100,Yau Tsim Mong,Langham Place (non-residential),16/08/2020,"1297, 1641, 2008, 2186, 3296, 3369, 3386, 3826, 4447, 4573"
1101,Tuen Mun,Chelsea Heights (non-residential),16/08/2020,"2177, 2598, 4448"
1102,Central & Western,Melbourne Plaza (non-residential),16/08/2020,"2485, 2529, 4338"
1103,Sha Tin,Tai Wai Market (non-residential),16/08/2020,"2583, 2693, 2816, 3033, 4505"
1104,Kwai Tsing,Metroplaza (non-residential),16/08/2020,"3521, 4164, 4175, 4338"
1105,Central & Western,LHT Tower (non-residential),16/08/2020,4338
1106,Kwai Tsing,Metroplaza Nha Trang Vietnamese Cuisine (non-residential),16/08/2020,4338
1107,Tuen Mun,Tai Hing Garden Phase 1 Shopping Centre (non-residential),16/08/2020,4448
1108,North,Tsz Jing House Po Shek Wu Estate (non-residential),16/08/2020,4494
1109,Sham Shui Po,Heya Star Café de Itamomo (non-residential),16/08/2020,4498
1110,Sha Tin,Li Fung Centre (non-residential),16/08/2020,4511
1111,Kwun Tong,Exchange Tower (non-residential),16/08/2020,4522
1112,Eastern,Fitfort Dondonya (non-residential),16/08/2020,4547
1113,Tai Po,Fu Heng Shopping Centre (non-residential),16/08/2020,"4573, 4644"
1114,Yau Tsim Mong,Eaton Hotel (non-residential),16/08/2020,4607
1115,Yau Tsim Mong,The Royal Garden (non-residential),16/08/2020,"4614, 4616"
1116,Sha Tin,MTR Sha Tin Wai Station (non-residential),16/08/2020,4645
1117,Wong Tai Sin,Plaza Hollywood (non-residential),17/08/2020,"1665, 1845, 2024, 2139, 3235, 3379, 3745, 4553"
1118,Tai Po,Tai Po Complex (non-residential),17/08/2020,"1942, 1999, 2120, 2339, 2991, 3490, 4106, 4644"
1119,Yau Tsim Mong,Royal Plaza Hotel (non-residential),17/08/2020,"2099, 3711, 3712, 4596"
1120,Kwun Tong,Sau Mau Ping Shopping Centre Café de Coral (non-residential),17/08/2020,"2440, 2449, 4608"
1121,Yuen Long,Long Ping Commercial Centre (non-residential),17/08/2020,"3967, 4337, 4555"
1122,Sham Shui Po,Un Chau Shopping Centre (non-residential),17/08/2020,"4498, 4586"
1123,Tuen Mun,Yuet Tin House Yan Tin Estate 安泰燒臘餐廳 (non-residential),17/08/2020,"4517, 4548"
1124,Eastern,Yue Wan Market (non-residential),17/08/2020,4526
1125,Sham Shui Po,Wing Kut Industrial Building Hoi Fa Kit Guo (non-residential),17/08/2020,4536
1126,Eastern,Fitfort (non-residential),17/08/2020,4547
1127,Tuen Mun,Yan Tin Market Yan Tin Estate Tong Kee Bao Dim (non-residential),17/08/2020,4548
1128,Wan Chai,CNT Tower Tao Heung (non-residential),17/08/2020,4557
1129,Kowloon City,Pebbles World Wonderful Worlds of Whampoa Green River Restaurant (non-residential),17/08/2020,4595
1130,Yau Tsim Mong,Fortune Crest Nam Kee Spring Roll Noodle Co. Ltd (non-residential),17/08/2020,4603
1131,Yau Tsim Mong,The Forest (non-residential),17/08/2020,4604
1132,Yau Tsim Mong,Sun Ming Building (non-residential),17/08/2020,4607
1133,Kwun Tong,Sau Mau Ping Shopping Centre Tong Kee Bao Dim (non-residential),17/08/2020,4608
1134,Tsuen Wan,"57-61, Lo Tak Court (non-residential)",17/08/2020,4646
1135,Yau Tsim Mong,ELEMENTS (non-residential),18/08/2020,"1715, 3057, 4011, 4077, 4569"
1136,Sham Shui Po,Shek Kip Mei Commercial Centre (non-residential),18/08/2020,"1813, 1881, 1927, 2067, 2418, 2688, 3038, 3621, 3862, 4309, 4605"
1137,Sai Kung,Beverly Garden Shopping Centre (non-residential),18/08/2020,"2066, 2537, 4571"
1138,Eastern,Sai Wan Ho Municipal Services Building (non-residential),18/08/2020,"2200, 2788, 3049, 3061, 4647"
1139,Yau Tsim Mong,Sino Centre (non-residential),18/08/2020,"2398, 3371, 4207, 4569"
1140,Tsuen Wan,Shing Mun Tunnel Administration Building (non-residential),18/08/2020,"4426, 4553"
1141,Tuen Mun,New Town Commercial Arcade (non-residential),18/08/2020,"4448, 4546"
1142,Eastern,Hing Wah Plaza (non-residential),18/08/2020,4526
1143,Tsuen Wan,Discovery Park Chef's Stage Kitchen (non-residential),18/08/2020,4546
1144,Central & Western,Wayson Commercial Building (non-residential),18/08/2020,4546
1145,Yau Tsim Mong,Kam Wah Building (non-residential),18/08/2020,4569
1146,Kwun Tong,Wing Cheung Industrial Building (non-residential),18/08/2020,4571
1147,Wan Chai,Wanchai Market (non-residential),18/08/2020,4574
1148,Yau Tsim Mong,Lee Hing Building (non-residential),18/08/2020,"4582, 4600"
1149,Kowloon City,Tak Shing Mansion (non-residential),18/08/2020,"4583, 4655"
1150,Kwun Tong,Lam Tin Complex (non-residential),18/08/2020,4595
1151,Yau Tsim Mong,6F & 6G Nelson Street (non-residential),18/08/2020,4596
1152,Yau Tsim Mong,Oasis Avenue - A GDH Hotel (non-residential),18/08/2020,4596
1153,Sham Shui Po,Dragon Centre (non-residential),18/08/2020,4600
1154,Yau Tsim Mong,T.O.P This is our place (non-residential),18/08/2020,4607
1155,Islands,Regal Airport Hotel (non-residential),18/08/2020,4615
1156,Yau Tsim Mong,Mira Place Tower A (non-residential),18/08/2020,4616
1157,Tuen Mun,Tuen Maun Central Square (non-residential),18/08/2020,4629
1158,Yau Tsim Mong,128 Fa Yuen Street (non-residential),18/08/2020,4635
1159,Tai Po,Fu Heng Shopping Centre Café de Coral (non-residential),18/08/2020,4644
1160,Kwai Tsing,Kwai Chung Plaza (non-residential),19/08/2020,"1820, 1996, 2332, 2455, 2459, 2465, 2602, 3018, 3026, 3040, 3058, 4495, 4640"
1161,Sha Tin,Mei Tin Shopping Centre (non-residential),19/08/2020,"2136, 3105, 4600"
1162,Tuen Mun,Leung King Plaza (non-residential),19/08/2020,"2319, 2707, 3582, 4286, 4309, 4339, 4374, 4412, 4430, 4431, 4467, 4599, 4658"
1163,Sha Tin,New Town Plaza (non-residential),19/08/2020,"3415, 3571, 3910, 4600"
1164,Yuen Long,Tin Yiu Plaza (non-residential),19/08/2020,"3887, 3904, 4207, 4365, 4651"
1165,Tuen Mun,Leung King Plaza Kam Tai Pan (non-residential),19/08/2020,"4412, 4599, 4628, 4658"
1166,Tuen Mun,Leung King Plaza Café de Itamomo (non-residential),19/08/2020,4598
1167,Kwun Tong,AIA Kowloon Tower (non-residential),19/08/2020,4600
1168,Tai Po,Pauline Building Wah Fai Restaurant and Cake Shop (non-residential),19/08/2020,4602
1169,Tai Po,Wah Lok Building Luk Yee Kui Restaurant (non-residential),19/08/2020,4602
1170,Central & Western,Flourish Court (non-residential),19/08/2020,4607
1171,Central & Western,Goldwin Heights (non-residential),19/08/2020,4607
1172,Yau Tsim Mong,Newish Mansion McDonald’s (non-residential),19/08/2020,4637
1173,Wong Tai Sin,41 Po Kong Village Road (non-residential),19/08/2020,4641
1174,Yuen Long,Tin Shing Shopping Centre (non-residential),19/08/2020,4651
1175,Kowloon City,Kowloon City Law Courts Building (non-residential),20/08/2020,"3310, 3383, 4641"
1176,Yau Tsim Mong,Tak Bo Building (non-residential),20/08/2020,"4569, 4637"
